policy_number,fraud_reported
698589,0.0
287489,1.0
211578,0.0
807369,0.0
830878,0.0
265093,0.0
760700,0.0
447226,0.0
695117,0.0
247116,0.0
818167,0.0
650026,0.0
797634,0.0
488724,0.0
932502,0.0
155604,1.0
505316,0.0
774303,0.0
390256,1.0
700074,0.0
903785,0.0
620855,0.0
219028,1.0
913464,0.0
398484,0.0
913337,1.0
421940,0.0
836272,0.0
215534,0.0
205134,0.0
538466,1.0
918629,0.0
804219,0.0
606037,0.0
113516,0.0
434507,0.0
212674,1.0
607259,0.0
804751,0.0
283052,0.0
127754,1.0
133889,0.0
646069,0.0
448961,0.0
319232,0.0
411477,0.0
154982,0.0
139872,0.0
146138,1.0
645723,0.0
649800,0.0
379882,0.0
253085,0.0
283414,0.0
500639,1.0
498759,0.0
182953,0.0
473338,0.0
345539,0.0
638155,1.0
793948,0.0
586104,0.0
230223,0.0
287436,0.0
630998,0.0
438817,0.0
440616,1.0
795004,1.0
653864,0.0
596785,0.0
756054,0.0
930032,0.0
666333,0.0
386690,1.0
961496,0.0
326180,0.0
990493,0.0
662088,0.0
686522,1.0
805806,0.0
636550,0.0
159768,0.0
605100,1.0
369781,0.0
944537,0.0
648397,0.0
868031,0.0
247801,0.0
830414,0.0
155724,0.0
681486,0.0
516959,0.0
385932,1.0
907113,0.0
795847,0.0
555374,0.0
238412,0.0
921202,0.0
243226,0.0
990998,0.0
722747,0.0
963761,1.0
168260,0.0
842618,0.0
657045,0.0
311783,1.0
621756,0.0
528385,1.0
654974,0.0
435784,0.0
918037,0.0
534982,0.0
744557,0.0
223404,0.0
167231,0.0
743163,0.0
457188,1.0
159243,0.0
889764,1.0
299796,0.0
543610,0.0
553565,0.0
182450,1.0
616337,1.0
842643,0.0
586367,1.0
776860,0.0
886473,0.0
593466,1.0
865607,0.0
687755,0.0
432068,0.0
167466,0.0
920554,0.0
801331,0.0
218684,0.0
544225,0.0
521585,1.0
730819,1.0
454086,0.0
684193,0.0
108270,0.0
669809,1.0
216738,0.0
566720,1.0
330591,1.0
267885,0.0
275092,0.0
756981,0.0
591269,0.0
577992,0.0
779075,0.0
445973,1.0
929306,0.0
557218,0.0
482404,0.0
920826,1.0
613226,0.0
550127,0.0
154280,0.0
143972,0.0
910604,0.0
465065,1.0
463237,0.0
965187,1.0
689034,1.0
608039,0.0
153027,0.0
630226,1.0
246882,0.0
427484,0.0
952300,0.0
302669,0.0
815883,1.0
307195,0.0
475588,1.0
863236,0.0
806081,0.0
429027,0.0
342830,0.0
395983,0.0
439828,0.0
283925,0.0
331170,0.0
553436,0.0
378588,1.0
500384,0.0
227811,1.0
178081,0.0
193213,0.0
512894,0.0
343161,0.0
803294,0.0
922167,1.0
253791,1.0
489618,0.0
942504,0.0
932097,0.0
391003,0.0
378587,1.0
941851,0.0
394975,0.0
187775,1.0
322609,0.0
275265,0.0
935277,0.0
674570,0.0
984948,0.0
824728,0.0
717044,0.0
248467,0.0
876714,0.0
856153,0.0
463727,0.0
753844,0.0
200827,0.0
442494,0.0
290971,0.0
482495,0.0
871432,0.0
360770,0.0
238196,0.0
106873,0.0
627540,0.0
527945,0.0
873384,1.0
898573,0.0
427199,0.0
261905,1.0
593390,0.0
369941,0.0
204294,0.0
469966,0.0
411289,0.0
172307,1.0
391652,1.0
687698,0.0
484200,0.0
502634,0.0
171254,0.0
979336,0.0
175553,0.0
134430,0.0
736882,0.0
426708,0.0
872734,1.0
626074,0.0
840806,0.0
810189,0.0
272910,0.0
506333,0.0
431478,1.0
279422,1.0
525224,0.0
725330,0.0
227244,0.0
524230,0.0
663938,0.0
457244,1.0
792673,0.0
517240,1.0
596914,0.0
439844,1.0
786957,0.0
936543,0.0
844117,0.0
623032,0.0
485372,0.0
419954,0.0
259792,0.0
718829,1.0
965768,0.0
398102,0.0
651948,1.0
217938,0.0
439049,0.0
976971,0.0
356768,0.0
442795,1.0
116700,0.0
863749,0.0
291902,0.0
179538,0.0
843227,1.0
263108,0.0
663190,0.0
900628,1.0
338070,0.0
779156,0.0
589094,1.0
828890,0.0
497929,1.0
193442,0.0
156694,0.0
982678,0.0
679370,0.0
272330,0.0
315631,0.0
445195,0.0
914815,0.0
