id,label_0,label_1,label_2,label_3
100000,460.66528,417.64642,294.78705,13.381068
100001,367.30112,374.46613,434.8847,76.68177
100002,48.757244,-124.439514,5.571805,258.64594
100003,717.9483,627.0175,440.10425,1.0996964
100004,277.66965,161.58119,124.38443,-12.948304
100005,688.372,621.4553,391.9307,23.707287
100006,84.46154,0.49766898,-161.3499,-249.6503
100007,159.7758,34.743916,85.8707,16.676512
100008,611.9626,548.2054,287.15836,90.52238
100009,-29.261686,-190.73792,38.400063,311.0873
100010,414.9597,335.7046,170.6115,131.13478
100011,860.5955,763.88116,847.9719,134.01682
100012,433.9559,363.07178,319.88837,43.08196
100013,778.0645,717.0484,393.072,209.74925
100014,85.65261,2.0622652,-114.25856,-61.8798
100015,392.51126,335.56015,162.36087,70.8394
100016,501.01758,460.5247,293.4712,21.80795
100017,101.463005,9.139948,116.58569,9.277793
100018,190.66031,140.74684,231.27846,174.76901
100019,-149.28816,-235.37674,-118.70925,37.054317
100020,370.04758,301.4301,266.40213,100.003395
100021,-31.04382,-177.60056,42.738518,232.80176
100022,473.16068,437.44394,254.5854,1.2355759
100023,241.75449,113.7299,259.16467,226.98608
100024,455.63205,364.93976,249.12425,31.955235
100025,678.83124,570.6994,399.29395,49.162624
100026,197.21556,146.29025,260.3308,67.34312
100027,273.80737,189.042,-129.99718,-27.738525
100028,640.6909,531.1087,442.76987,25.994732
100029,190.20691,154.02107,146.88828,15.986909
100030,426.19638,365.9368,165.50882,-103.77259
100031,421.78073,362.02832,168.80902,-33.285465
100032,252.19351,268.5263,-31.517897,-93.61332
100033,239.68817,178.62074,-163.86432,-92.61382
100034,769.0756,690.5785,427.5933,1.8778336
100035,556.80927,490.53836,277.12512,102.72213
100036,359.89178,276.71304,272.57495,25.890938
100037,505.6171,421.0299,272.58206,-12.676084
100038,287.4643,239.77055,113.63609,30.601528
100039,115.25021,44.884846,47.44716,22.447664
100040,647.1085,577.24774,385.13904,115.30333
100041,361.7305,341.1374,250.46983,-37.56821
100042,533.2193,399.33594,477.68015,107.38317
100043,536.65906,474.22696,208.16638,-112.43952
100044,473.20398,373.09,300.9505,65.84249
100045,623.2237,541.7503,341.10187,106.09371
100046,760.9411,668.9806,732.25995,345.5287
100047,280.47174,244.13039,229.57329,48.360455
100048,23.860844,-68.36584,5.066393,157.19034
100049,224.8594,172.33272,-57.517624,-99.97266
100050,577.982,489.24292,540.7265,184.36333
100051,109.93611,6.636986,-64.075516,-34.25379
100052,496.2902,468.53488,719.35626,270.9628
100053,261.69254,110.63844,290.2306,-10.238734
100054,288.32153,218.91212,181.79166,-57.430088
100055,324.0457,277.5688,105.1836,-10.587979
100056,51.322872,-41.231895,-120.36429,-117.4026
100057,360.01364,296.39258,193.11234,-73.54842
100058,378.58536,262.19073,242.59853,30.867485
100059,447.14676,385.0459,153.08255,-60.16711
100060,393.7895,344.59186,162.98412,-53.527325
100061,356.6205,292.09845,150.49974,255.30026
100062,666.38153,602.9379,345.71515,47.682423
100063,-176.41368,-289.51297,-151.8827,-13.079722
100064,650.89197,521.9629,476.00732,140.07745
100065,601.91785,519.6618,306.39432,-40.71053
100066,-53.13547,20.31437,-244.58867,-475.68143
100067,68.19333,-36.577988,155.68297,131.172
100068,255.61827,221.79796,328.40698,119.974304
100069,72.52941,-50.790215,14.811943,22.223835
100070,395.929,331.57202,225.18884,-19.888515
100071,-37.530293,-202.37091,71.35569,304.03513
100072,264.0715,198.03479,-161.9355,-71.00892
100073,116.866646,8.705859,82.87243,69.94045
100074,514.1792,466.375,233.21588,-5.985585
100075,124.01745,61.289112,258.00507,72.81999
100076,550.0433,452.83264,335.85233,-22.641361
100077,396.79968,424.16742,341.05902,1.4738495
100078,-46.2924,-209.99416,-5.791479,237.55118
100079,590.08356,524.0856,275.66733,-86.2807
100080,124.36259,-5.638756,-22.497927,7.871251
100081,1184.5494,1004.1965,878.2514,279.11002
100082,142.7192,83.00144,-29.910229,-116.45097
100083,689.4191,636.77826,385.18866,133.58514
100084,304.60016,260.888,369.08295,-162.94101
100085,453.06308,384.47803,303.75452,-8.977567
100086,122.766426,39.301735,-45.32156,-301.51523
